"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"IMDTCN93","journalArticle","2018","Kim, Albert E.; Oines, Leif; Miyake, Akira","Individual Differences in Verbal Working Memory Underlie a Tradeoff Between Semantic and Structural Processing Difficulty During Language Comprehension: An ERP Investigation","JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION","","0278-7393","10.1037/xlm0000457","","This study investigated the processes reflected in the widely observed N400 and P600 event-related potential (ERP) effects and tested the hypothesis that the N400 and P600 effects are functionally linked in a tradeoff relationship, constrained in part by individual differences in cognitive ability. Sixty participants read sentences, and ERP effects of semantic anomaly, relative to plausible words, were calculated for each participant. Results suggested qualitatively different ERP patterns across participants: Some individuals generated N400-dominated effects, whereas others generated P600-dominated effects, for the same stimuli. To specify the sources of individual differences in brain responses, we also derived aggregate scores for verbal working memory (WM), nonverbal WM, and language experience/knowledge, based on 6 behavioral measures administered to each participant. Multiple regression analysis pitting these 3 constructs against each other showed that a larger verbal WM capacity was significantly associated with larger P600 and smaller N400 effect amplitudes across individuals, whereas the other constructs did not predict the ERP effects. The results suggest that N400 and P600 brain responses, which may be attributable to semantic integration difficulty and structural processing, respectively, vie for expression when comprehenders encounter semantically unexpected words and that which option wins out is constrained in part by each comprehender's verbal WM capacity.","2018-03","2018-12-21 16:23:26","2018-12-21 16:23:26","","406-420","","3","44","","","","","","","","","","English","","","","","","","","","","","event-related potentials (ERPs); individual differences; sentence comprehension; working memory capacity","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CDULSDQR","journalArticle","2018","Wong, Celia C. Y.; Warmoth, Krystal; Ivy, Shelby; Cheung, Bernice; Lu, Qian","Relation of social constraints on disclosure to adjustment among Chinese American cancer survivors: A multiprocesses approach","PSYCHO-ONCOLOGY","","1057-9249","10.1002/pon.4604","","Purpose: The present study examines the association between social constraints and depressive symptoms among Chinese American breast cancer survivors, and the mechanism underling this association. A multiprocesses model is tested to examine the mediating roles of ambivalence over emotional expression (AEE), avoidance, intrusive thoughts, and social support in the association between social constraints and depressive symptoms among Chinese American breast cancer survivors. Methods: Ninety-six Chinese American breast cancer survivors were recruited from Chinese community organizations. They were asked to complete a questionnaire package that assessed social constraints, AEE, avoidance, intrusive thoughts, social support, depressive symptoms, and demographic information. Path analysis was conducted to test the hypothesized model. Results: The overall and specific indirect effects of social constraints on depressive symptoms through AEE, avoidance, intrusive thoughts, and social support are significant. When the mediators are controlled for, the direct effect of social constraints on depressive symptoms is no longer significant. Conclusions: A multiprocesses model of social constraints and depressive symptoms is tested in a sample of Chinese American breast cancer survivors. The findings suggest that the existence of multiple pathways through which social constraints may associate with depressive symptoms among Chinese American breast cancer survivors.","2018-03","2018-12-21 16:23:27","2018-12-21 16:23:27","","977-982","","3","27","","","","","","","","","","English","","","","","","","","","","","ambivalence over emotional expression; Asian American; avoidance; cancer; cancer survivorship; depression; intrusive thought; oncology; social constraints; social support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W2GW5ADA","journalArticle","2018","Chinn, Lisa K.; Pauker, Carolyn S.; Golob, Edward J.","Cognitive control and midline theta adjust across multiple timescales","NEUROPSYCHOLOGIA","","0028-3932","10.1016/j.neuropsychologia.2018.01.031","","Cognitive control of attention in conflict situations is a basic skill that is vital for goal-oriented behavior. Behavioral evidence shows that conflict control occurs over successive trials as well as longer time scales of trial blocks, but the relation among time scales as well as their neural mechanisms are unclear. This study used measures of behavior, EEG, and a simple quantitative model to test the hypothesis that conflict control at the block level is not exclusively driven by control adjustments over successive trials. Young adults performed an auditory Simon task, and the base rate of compatible vs. incompatible trials was manipulated in separate blocks (25, 50, 75% compatible). EEG data were analyzed using independent component analysis (ICA) to define cortical mechanisms of any base rate and trial-by-trial sequence effects. Reaction time measures had both sequence and base rate effects. Two fronto-medial ICA components indexed sequence and base rate effects, with specific profiles for evoked potentials and oscillations in the theta and alpha frequency bands. Predictive modeling showed that sequence effects accounted for a minority of the variance on behavioral and ICA measures (all < 36%). The results strongly suggest that the base rate manipulation affected behavior and many neural measures beyond the influence of sequence effects.","2018-03","2018-12-21 16:23:27","2018-12-21 16:23:27","","216-228","","","111","","","","","","","","","","English","","","","","","","","","","","Attention; Cognitive control; EEG; Theta Prefrontal cortex","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BBERHBJT","journalArticle","2018","Privitera, Gregory J.; Welling, Deeanna; Tejada, Gabriela; Sweazy, Nicole; Cuifolo, Kayla N.; King-Shepard, Quentin W.; Doraiswamy, P. Murali","No calorie comfort: Viewing and drawing “comfort foods” similarly augment positive mood for those with depression","JOURNAL OF HEALTH PSYCHOLOGY","","1359-1053","10.1177/1359105316681861","","Based on behavioral and neurobiological data, we tested the hypothesis that viewing/drawing visual images of comfort foods in the absence of eating will increase positive mood and that this effect is augmented for those with clinical symptoms of depression. A counterbalanced design was used for 60 participants with and without clinical symptoms in two variations: food image and food art. In each variation, participants viewed/drew foods high or low in fat/sugar; pre-post mood was recorded. Results show a consistent pattern: viewing/drawing comfort foods [food image (95% confidence interval): 2.72-4.85; food art (95% confidence interval): 2.65-4.62] and fruits [food image (95% confidence interval): 1.20-2.23; food art (95% confidence interval): 1.51-2.56] enhanced mood. For comfort foods, mood was augmented for those with clinical symptoms of depression [food image (95% confidence interval): 0.95-3.59; food art (95% confidence interval): 0.97-3.46]. Findings corroborate previous data and reveal a novel finding of augmented mood increases for those with clinical symptoms.","2018-03","2018-12-21 16:23:28","2018-12-21 16:23:28","","598-607","","4","23","","","","","","","","","","English","","","","","","","","","","","depression; emotion; food; obesity; treatment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"99ZXE5RD","journalArticle","2018","Kollareth, Dolichan; Russell, James A.","Even Unpleasant Reminders That You Are an Animal Need Not Disgust You","EMOTION","","1528-3542","10.1037/emo0000365","","Three studies (Ns = 200, 400, 400) tested the hypothesis that we humans feel disgust when reminded of our animal nature. Participants verbally rated their disgust reaction to pictures of humans engaged in various unpleasant actions. For pictures of events that present danger or suffering, accompanied by an explicit and vivid reminder that animals face the same situation, participants reported fear and sadness rather than disgust. For pictures of events that present a norm violation, an explicit animal reminder (relative to a human picture alone) did not lead to a consequent increment in disgust. For pictures of events that present a physically disgusting contamination, an explicit animal reminder (relative to a human picture alone) led to a decrement in disgust. Thus, not all unpleasant animal reminders are disgusting. Some disgusting things may remind us of our animal nature, but they are not disgusting because they do so.","2018-03","2018-12-21 16:23:28","2018-12-21 16:23:28","","304-312","","2","18","","","","","","","","","","English","","","","","","","","","","","animal nature; animal reminder hypothesis; emotion; norm violation; physical disgust","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FLSXLHK5","journalArticle","2018","Barch, Deanna M.; Belden, Andy C.; Tillman, Rebecca; Whalen, Diana; Luby, Joan L.","Early Childhood Adverse Experiences, Inferior Frontal Gyrus Connectivity, and the Trajectory of Externalizing Psychopathology","JOURNAL OF THE AMERICAN ACADEMY OF CHILD AND ADOLESCENT PSYCHIATRY","","0890-8567","10.1016/j.jaac.2017.12.011","","Objective: Early adverse childhood experiences (ACEs) have been linked to the development of both internalizing and externalizing psychopathology. In our prior work, we found that ACEs predicted reductions in the volume of the inferior frontal gyrus (IFG), a brain region important for impulse control and emotion regulation. Here we tested the hypothesis that ACES might influence child behavioral outcomes through an impact on IFG functional connectivity, which may influence impulsive or risk-taking behavior. Method: We examined the effects of prospectively assessed ACEs on IFG connectivity in childhood, and their relationship to the trajectory of subsequent psychopathology from late school age and early adolescence, using data from an 11-year longitudinal study of children starting in preschool that included 3 waves of resting state functional connectivity across childhood and early adolescence. Results: ACEs predicted functional connectivity of both left and right IFG. Multi-level modeling of symptoms across 3 waves of assessments indicated that more ACEs predicted both internalizing and externalizing symptoms. However, altered IFG connectivity specifically predicted greater externalizing symptoms over time in middle childhood and early adolescence, as compared to internalizing symptoms. Longitudinal modeling indicating that the relationships between externalizing and functional connectivity were maintained across 3 waves of functional connectivity assessment. Conclusion: These findings underscore the relationship of ACEs to later psychopathology, and suggest that connectivity of the IFG, a region known to play an important role in impulse control and emotion regulation, may play a key role in the risk trajectory of ACEs to externalizing problems. However, further work is needed to understand whether these relationships reflect a direct effect of ACEs or whether ACEs are a marker for other environmental or genetic factors that may also influence brain development and behavior.","2018-03","2018-12-21 16:23:29","2018-12-21 16:23:29","","183-190","","3","57","","","","","","","","","","English","","","","","","","","","","","development; externalizing; functional connectivity; inferior frontal gyrus; longitudinal","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YTTWJND8","journalArticle","2018","Wilson, Robert S.; Capuano, Ana W.; James, Bryan D.; Amofa, Priscilla; Arvanitakis, Zoe; Shah, Raj; Bennett, David A.; Boyle, Patricia A.","Purpose in Life and Hospitalization for Ambulatory Care-Sensitive Conditions in Old Age","AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY","","1064-7481","10.1016/j.jagp.2017.06.022","","Objective: To test the hypothesis that higher level of purpose in life is associated with lower subsequent odds of hospitalization. Design: Longitudinal cohort study. Setting: Participants' residences in the Chicago metropolitan area. Participants: A total of 805 older persons who completed uniform annual clinical evaluations. Measurements: Participants annually completed a standard self-report measure of purpose in life, a component of well-being. Hospitalization data were obtained from Part A Medicare claims records. Based on previous research, ICD-9 codes were used to identify ambulatory care-sensitive conditions (ACSCs) for which hospitalization is potentially preventable. The relation of purpose (baseline and follow-up) to hospitalization was assessed in proportional odds mixed models. Results: During a mean of 4.5 years of observation, there was a total of 2,043 hospitalizations (442 with a primary ACSC diagnosis; 1,322 with a secondary ACSC diagnosis; 279 with no ACSCs). In initial analyses, higher purpose at baseline and follow-up were each associated with lower odds of more hospitalizations involving ACSCs but not hospitalizations for non-ACSCs. Results were comparable when those with low cognitive function at baseline were excluded. Adjustment for chronic medical conditions and socioeconomic status reduced but did not eliminate the association of purpose with hospitalizations involving ACSCs. Conclusions: In old age, higher level of purpose in life is associated with lower odds of subsequent hospitalizations for ambulatory care-sensitive conditions.","2018-03","2018-12-21 16:23:29","2018-12-21 16:23:29","","364-374","","3","26","","","","","","","","","","English","","","","","","","","","","","hospitalization; Medicare; Purpose in life; well-being","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K58BZ93Q","journalArticle","2018","Reisig, Michael D.; Holtfreter, Kristy; Turanovic, Jillian J.","Criminal Victimization, Depressive Symptoms, and Behavioral Avoidance Coping in Late Adulthood: The Conditioning Role of Strong Familial Ties","JOURNAL OF ADULT DEVELOPMENT","","1068-0667","10.1007/s10804-017-9270-0","","This study examined the association criminal victimization has with two mental health outcomes (i.e., depressive symptoms and behavioral avoidance coping) among older adults. This study also tested whether strong familial ties condition the harmful results of victimization. This study used cross-sectional survey data from interviews conducted in Arizona and Florida with individuals 60 years and older (N = 2000). Linear regression was used to test the hypotheses. Victims reported higher depressive symptoms and greater behavioral avoidance coping. The link between victimization and depression was weaker among participants with strong attachments to their spouse and to their children. Strong spousal ties also diminished the link between criminal victimization and behavioral avoidance coping. These findings are consistent with research conducted at earlier stages of the life course. Practitioners should work with older crime victims to identify interventions that provide the types of support found in strong familial relationships.","2018-03","2018-12-21 16:23:30","2018-12-21 16:23:30","","13-24","","1","25","","","","","","","","","","English","","","","","","","","","","","Spousal attachment; Stress process model; Victimization","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R7D8C5R7","journalArticle","2018","Strauss, Maria; Ulke, Christine; Paucke, Madlen; Huang, Jue; Mauche, Nicole; Sander, Christian; Stark, Tetyana; Hegerl, Ulrich","Brain arousal regulation in adults with attention-deficit/hyperactivity disorder (ADHD)","PSYCHIATRY RESEARCH","","0165-1781","10.1016/j.psychres.2017.12.043","","The main aim of the current study was to test the hypothesis that adult patients with attention-deficit/hyper-activity disorder (ADHD) have less stable brain arousal regulation than healthy controls. We objectively assessed brain arousal regulation using the Vigilance Algorithm Leipzig (VIGALL 2.1) to analyze 15-min resting EEG data of thirty-three ADHD patients and thirty-five matched controls. Based on automatically classified 1-s segments we computed mean EEG-vigilance (indexing arousal level) and arousal stability score (indexing arousal regulation). Adult ADHD patients showed significantly lower arousal levels and significantly less stable brain arousal regulation than controls. Multiple regression analysis indicated that arousal regulation (i.e., arousal stability score) predicted the retrospectively-assessed severity of childhood ADHD symptoms, supporting the trait aspect of brain arousal regulation. Our findings support the arousal regulation model of ADHD, which interprets hyperactivity and sensation seeking as an autoregulatory reaction to an unstable regulation of brain arousal. EEG-based arousal parameters may be candidate biomarkers for adult ADHD.","2018-03","2018-12-21 16:23:30","2018-12-21 16:23:30","","102-108","","","261","","","","","","","","","","English","","","","","","","","","","","Adult ADHD; Arousal; Biomarker; EEG; Neurobiology; VIGALL 2.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VQBKKWU5","journalArticle","2018","Pedersen, C.; Halvari, H.; Williams, G. C.","Worksite intervention effects on motivation, physical activity, and health: A cluster randomized controlled trial","PSYCHOLOGY OF SPORT AND EXERCISE","","1469-0292","10.1016/j.psychsport.2017.11.004","","Objectives: The current study tested the hypothesis that a physical activity (PA) intervention in the worksite would lead to increases in autonomous motivation and perceived competence for PA, self-administered regular PA, and cardiorespiratory fitness (CRF), as well as improvements in health (i.e., reduced blood pressure (BP), waist circumference, and improved cholesterol levels). Moreover, the study tested the self-determination theory (SDT) model of health behaviour change. Design: Cluster randomized controlled trial. Method Participants from a population of employees working within the area of transport and distribution (n = 202) were cluster randomized (n = 6 worksites) to an intervention and a control condition. The 16-week group-based worksite intervention was designed based on the tenets of SDT combined with techniques from motivational interviewing (MI). Participants were assessed at baseline and at post-test five months later. Results: Complete-case analyses applying multivariate and univariate analysis of variance indicated an overall intervention effect, and moderate to small effect sizes (Cohen's d) in favour of the intervention group on CRF, diastolic BP, and high-density lipoprotein cholesterol (HDL-C), as well as need support for PA, autonomous motivation for PA, and perceived competence for PA. Intention-to-treat analyses demonstrated the same pattern with smaller effect sizes. Path analysis obtained a good fit between the data and the SDT model of health behaviour change. Conclusions: Offering need supportive interventions to enhance autonomous motivation and competence for PA among employees resulted in important improvements in CRF as well as positive changes in health. Trial registration: “My Exercise. A Team-based Workplace Intervention for Increased Exercise”, dinicaltrials.gov, NCT02429635, April 14, 2015.","2018-03","2018-12-21 16:23:31","2018-12-21 16:23:31","","171-180","","","35","","","","","","","","","","English","","","","","","","","","","","Autonomous motivation; Blood pressure; Cardiorespiratory fitness; Cholesterol; Physical activity; Self-determination theory; Worksite health promotion","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CXVHHXU2","journalArticle","2018","Pokhrel, Pallav; Fagan, Pebbles; Herzog, Thaddeus A.; Laestadius, Linnea; Buente, Wayne; Kawamoto, Crissy T.; Lee, Hye-Ryeon; Unger, Jennifer B.","Social media e-cigarette exposure and e-cigarette expectancies and use among young adults","ADDICTIVE BEHAVIORS","","0306-4603","10.1016/j.addbeh.2017.10.017","","A vast majority of U.S. young adults use social media such as Facebook and Instagram daily. Research suggests that young adults are commonly exposed to e-cigarette-related marketing or user-generated content on the social media they use. Currently, however, there is limited empirical evidence as to how social media e-cigarette exposure is associated with e-cigarette use beliefs and behavior. In particular, limited evidence exists to support the proposition that social media e-cigarette exposure is uniquely associated with e-cigarette use, even after adjusting for the effects of e-cigarette use in young adults' in-person or `offline' social networks. This study was conducted to test the hypotheses that 1) social media e-cigarette exposure is associated with e-cigarette use outcome expectancies and current e-cigarette use; and 2) the association between social media and e-cigarette use is linked via outcome expectancies. We collected cross-sectional data from a sample of 470 young adult college students in Hawaii. Hypotheses were tested by fitting a structural equation model to the data. The model accounted for the associations of demographic variables, cigarette smoking history, as well as e-cigarette use in individuals' actual social networks with expectancies and behavior. Results indicated that social media e-cigarette exposure was associated with current e-cigarette use indirectly through two of the four positive outcome expectancies examined, namely, positive “smoking” experience and positive sensory experience. We discuss the implications of the findings in the context of tobacco control efforts.","2018-03","2018-12-21 16:23:31","2018-12-21 16:23:31","","51-58","","","78","","","","","","","","","","English","","","","","","","","","","","E-cigarettes; Expectancies; Social media; Young adults","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YIE3EE74","journalArticle","2018","Lyvers, Michael; McCann, Karrah; Coundouris, Sarah; Edwards, Mark S.; Thorberg, Fred Arne","Alexithymia in Relation to Alcohol Use, Emotion Recognition, and Empathy: The Role of Externally Oriented Thinking","AMERICAN JOURNAL OF PSYCHOLOGY","","0002-9556","10.5406/amerjpsyc.131.1.0041","","Both alcohol misuse and the externally oriented thinking (EOT) facet of alexithymia are associated with deficits in facial emotion recognition and emotional empathy. The aim of the present study was to investigate whether EOT mediates the association of drinking with these deficits, and to test the hypothesis that impaired facial emotion recognition mediates the relationship between EOT and low emotional empathy, in a nonclinical sample. The sample consisted of 161 men and women who completed an online survey that included the Alcohol Use Disorders Identification Test (AUDIT), Depression Anxiety Stress Scales, Interpersonal Reactivity Index (IRI), Reading the Mind in the Eyes Test (RMET), and Toronto Alexithymia Scale (TAS-20). In addition to replicating associations between TAS-20 and other measures, EOT was found to mediate relationships between potential alcohol misuse (as indexed by AUDIT) and facial emotion recognition (as indexed by RMET) as well as emotional empathy (as indexed by the corresponding subscale of the IRI) after controlling for mood and demographic variables. The negative relationship between EOT and emotional empathy was mediated by impaired facial emotion recognition. Present findings point to a likely role of the EOT trait in the reported associations of alcohol misuse with both poor emotion recognition and low emotional empathy, and a mediating role of poor emotion recognition in the relationship of EOT to the latter.","2018","2018-12-21 16:23:32","2018-12-21 16:23:32","","41-51","","1","131","","","","","","","","","","English","","","","","","","","","","","alcohol; alexithymia; emotion; empathy; personality","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YVLBFQYY","journalArticle","2018","Wilson, Angelina; Wissing, Marie P.; Schutte, Lusilda","Validation of the Stress Overload Scale and Stress Overload Scale-Short Form among a Setswana-speaking community in South Africa","SOUTH AFRICAN JOURNAL OF PSYCHOLOGY","","0081-2463","10.1177/0081246317705241","","Although there has been extensive research on the phenomenon of stress, there is still a lack of assessment tools, especially in the South African context, that have strong theoretical underpinnings, tapping into both internal depletion of resources and the excessive external demands from the environment in the measurement of stress. The aim of this study was to validate the Setswana version of the original 30-item long form of the Stress Overload Scale as well as the 10-item short form (Stress Overload Scale-Short Form), both evaluating experienced personal vulnerability and external event load. A sample of N=376 adults living in a rural community in the Northern Cape Province of South Africa were randomly selected to partake in the study. Emerging model fit indices of confirmatory factor analysis testing the hypothesized two-factor structure of the original Stress Overload Scale were not convincingly good. However, we found a remarkable improvement in model fit indices in the case of the Stress Overload Scale-Short Form. Concurrent validity was shown for the Stress Overload Scale-Short Form in significant correlations with depression and emotional well-being. We conclude that the Setswana version of the Stress Overload Scale-Short Form is a psychometrically sound instrument for measuring stress in the present context; however, further validation of the original Stress Overload Scale in diverse samples is necessary to provide stronger support for the hypothesized two-factor structure.","2018-03","2018-12-21 16:23:32","2018-12-21 16:23:32","","21-31","","1","48","","","","","","","","","","English","","","","","","","","","","","Northern Cape Province; psychometric properties; South Africa; stress; Stress Overload Scale","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MG7C7R25","journalArticle","2018","Herbort, Oliver; Bueschelberger, Juliane; Janczyk, Markus","Preschool children adapt grasping movements to upcoming object manipulations: Evidence from a dial rotation task","JOURNAL OF EXPERIMENTAL CHILD PSYCHOLOGY","","0022-0965","10.1016/j.jecp.2017.09.025","","In adults, the motor plans for object-directed grasping movements reflects the anticipated requirements of intended future object manipulations. This prospective mode of planning has been termed second-order planning. Surprisingly, second-order planning is thought to be fully developed only by 10 years of age, when children master seemingly more complex motor skills. In this study, we tested the hypothesis that already 5- and 6-year-old children consistently use second-order planning but that this ability does not become apparent in tasks that are traditionally used to probe it. We asked 5- and 6-year-olds and adults to grasp and rotate a circular dial in a clockwise or counterclockwise direction. Although children's grasp selections were less consistent on an intra- and inter-individual level than adults' grasp selections, all children adjusted their grasps to the upcoming dial rotations. By contrast, in an also administered bar rotation task, only a subset of children adjusted their grasps to different bar rotations, thereby replicating previous results. The results indicate that 5- and 6-year-olds consistently use second-order planning in a dial rotation task, although this ability does not become apparent in bar rotation tasks. (C) 2017 Elsevier Inc. All rights reserved.","2018-03","2018-12-21 16:23:33","2018-12-21 16:23:33","","62-77","","","167","","","","","","","","","","English","","","","","","","","","","","Anticipation; End-state comfort effect; Grasping; Motor planning; Object manipulation; Preschool children","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ARTCJP9V","journalArticle","2018","Lipponen, Jukka; Steffens, Niklas K.; Holtz, Brian C.","Prototypical supervisors shape lay-off victims' experiences of top management justice and organizational support","JOURNAL OF OCCUPATIONAL AND ORGANIZATIONAL PSYCHOLOGY","","0963-1798","10.1111/joop.12197","","Job loss is a pervasive experience affecting millions of workers around the globe annually. To investigate lay-offs from the perspective of those who are affected, we conducted a lagged study examining lay-off victims' experiences of supervisory justice, top management justice, and organizational support. We test the hypotheses that the relationships between supervisory justice and lay-off victims' subsequent experiences of top management justice as well as organizational support are moderated by supervisors' prototypicality of their team. Results from our study conducted during lay-off process indicated that supervisory justice had a positive lagged impact on lay-off victims' unfolding experiences of both (1) top management justice and (2) organizational support for supervisors who were viewed as highly (but not lowly) prototypical of the team that both supervisors and subordinates were part of. Our study identifies a theoretically grounded moderator that may account for the presence (or absence) of cross-foci effects found in previous multifoci justice studies. Moreover, our results shed light on the development of justice perceptions by demonstrating the impact of lower-level supervisors in translating subordinates' perceptions of justice of the supervisor to that of the top management. Findings suggest that supervisors have an important role to play in managing (for better or worse) the potentially harmful consequences associated with organizational redundancies.","2018-03","2018-12-21 16:23:33","2018-12-21 16:23:33","","158-180","","1","91","","","","","","","","","","English","","","","","","","","","","","fairness; justice; layoff; leader prototypicality; leadership; perceived organizational support","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MHFMPL8U","journalArticle","2018","Shahar-Yames, Daphna; Eviatar, Zohar; Prior, Anat","Separability of Lexical and Morphological Knowledge: Evidence from Language Minority Children","FRONTIERS IN PSYCHOLOGY","","1664-1078","10.3389/fpsyg.2018.00163","","Lexical and morphological knowledge of school-aged children are correlated with each other, and are often difficult to distinguish. One reason for this might be that many tasks currently used to assess morphological knowledge require children to inflect or derive real words in the language, thus recruiting their vocabulary knowledge. The current study investigated the possible separability of lexical and morphological knowledge using two complementary approaches. First, we examined the correlations between vocabulary and four morphological tasks tapping different aspects of morphological processing and awareness, and using either real-word or pseudo-word stimuli. Thus, we tested the hypothesis that different morphological tasks recruit lexical knowledge to various degrees. Second, we compared the Hebrew vocabulary and morphological knowledge of 5th grade language minority speaking children to that of their native speaking peers. This comparison allows us to ask whether reduced exposure to the societal language might differentially influence vocabulary and morphological knowledge. The results demonstrate that indeed different morphological tasks rely on lexical knowledge to varying degrees. In addition, language minority students had significantly lower performance in vocabulary and in morphological tasks that recruited vocabulary knowledge to a greater extent. In contrast, both groups performed similarly in abstract morphological tasks with a lower vocabulary load. These results demonstrate that lexical and morphological knowledge may rely on partially separable learning mechanisms, and highlight the importance of distinguishing between these two linguistic components.","2018-02-21","2018-12-21 16:23:34","2018-12-21 16:23:34","","","","","9","","","","","","","","","","English","","","","","","","","","","","bilingual; language-minority; lexical knowledge; morphology; token; type; vocabulary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HY3ULNPN","journalArticle","2018","Logrip, Marian L.; Walker, John R.; Ayanwuyi, Lydia O.; Sabino, Valentina; Ciccocioppo, Roberto; Koob, George F.; Zorrilla, Eric P.","Evaluation of Alcohol Preference and Drinking in msP Rats Bearing a Crhr1 Promoter Polymorphism","FRONTIERS IN PSYCHIATRY","","1664-0640","10.3389/fpsyt.2018.00028","","Alcoholism is a pervasive societal problem, yet available pharmacotherapies fail to treat most sufferers. The type 1 corticotropin-releasing factor (CRF1) receptor has received much attention for its putative role in the progression to alcohol dependence, although at present its success in clinical trials has been limited. Two single-nucleotide polymorphisms in the rat Crhr1 promoter have been identified in the Marchigian substrain of Sardinian alcohol-preferring (msP) rats. Unlike other Wistar-derived alcohol-preferring lines, nondependent msP rats reduce their alcohol self-administration in response to CRF1 antagonists and show increased brain CRF1 expression. The current study tested the hypotheses that the A alleles in the Crhr1 promoter polymorphisms are: (1) unique to msP (vs. CRF1 antagonist-insensitive) alcohol-preferring lines and (2) associate with greater alcohol preference or intake. Two related polymorphisms were observed in which both loci on a given chromosome were either mutant variant (A) or wild-type (G) alleles within the distal Crhr1 promoter of 17/25 msP rats (68%), as compared to 0/23 Indiana P rats, 0/20 Sardinian alcohol-preferring rats bred at Scripps (Scr: sP) and 0/21 outbred Wistar rats. Alcohol consumption in msP rats did not differ according to the presence of Crhr1 A alleles, but greater alcohol preference (98%) was observed in A allele homozygous msP rats (AA) compared to msP rats with wild-type (GG, 91%) or heterozygous (GA, 91%) genotypes. The greater alcohol preference reflected decreased water intake, accompanied by reduced total calories consumed by AA rats. The data show that msP rats differentially possess mutant A variant alleles in the polymorphic promoter region of the Crhr1 gene that may differentially regulate consumption.","2018-02-15","2018-12-21 16:23:35","2018-12-21 16:23:35","","","","","9","","","","","","","","","","English","","","","","","","","","","","alcohol; corticotropin-releasing factor; corticotropin-releasing hormone; ethanol; genetic vulnerability; promoter; selective breeding; single-nucleotide polymorphism","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
