Full title,Title29,Title20,ISSN,EISSN,Category name
AMERICAN INDIAN AND ALASKA NATIVE MENTAL HEALTH RESEARCH,AMER INDIAN ALASKA NATIV MENT,AM INDIAN ALASKA NAT,1533-7731,1533-7731,PSYCHIATRY/PSYCHOLOGY
AMERICAN JOURNAL OF CLINICAL HYPNOSIS,AMER J CLIN HYPN,AM J CLIN HYPN,0002-9157,2160-0562,PSYCHIATRY/PSYCHOLOGY
AMERICAN JOURNAL OF COMMUNITY PSYCHOLOGY,AMER J COMMUN PSYCHOL,AM J COMMUN PSYCHOL,0091-0562,1573-2770,PSYCHIATRY/PSYCHOLOGY
AMERICAN JOURNAL OF FAMILY THERAPY,AMER J FAM THER,AM J FAM THER,0192-6187,1521-0383,PSYCHIATRY/PSYCHOLOGY
AMERICAN JOURNAL OF GERIATRIC PSYCHIATRY,AMER J GERIATR PSYCHIATR,AM J GERIAT PSYCHIAT,1064-7481,1545-7214,PSYCHIATRY/PSYCHOLOGY
AMERICAN JOURNAL OF PSYCHIATRY,AMER J PSYCHIAT,AM J PSYCHIAT,0002-953X,1535-7228,PSYCHIATRY/PSYCHOLOGY
AMERICAN JOURNAL OF PSYCHOLOGY,AMER J PSYCHOL,AM J PSYCHOL,0002-9556,1939-8298,PSYCHIATRY/PSYCHOLOGY
AMERICAN PSYCHOLOGIST,AMER PSYCHOL,AM PSYCHOL,0003-066X,1935-990X,PSYCHIATRY/PSYCHOLOGY
Anadolu Psikiyatri Dergisi-Anatolian Journal of Psychiatry,ANADOLU PSIKIYATR DERG,ANADOLU PSIKIYATR DE,1302-6631,1302-6631,PSYCHIATRY/PSYCHOLOGY
Anales de Psicologia,AN PSICOL,AN PSICOL-SPAIN,0212-9728,1695-2294,PSYCHIATRY/PSYCHOLOGY
ANNALS OF BEHAVIORAL MEDICINE,ANN BEHAVIORAL MED,ANN BEHAV MED,0883-6612,1532-4796,PSYCHIATRY/PSYCHOLOGY
Annals of Clinical Psychiatry,ANN CLIN PSYCHIATRY,ANN CLIN PSYCHIATRY,1040-1237,1547-3325,PSYCHIATRY/PSYCHOLOGY
Annals of General Psychiatry,ANN GEN PSYCHIATR,ANN GEN PSYCHIATR,1744-859X,null,PSYCHIATRY/PSYCHOLOGY
ANNEE PSYCHOLOGIQUE,ANNEE PSYCHOL,ANN PSYCHOL,0003-5033,1955-2580,PSYCHIATRY/PSYCHOLOGY
Annual Review of Clinical Psychology,ANNU REV CLIN PSYCHOL,ANNU REV CLIN PSYCHO,1548-5943,null,PSYCHIATRY/PSYCHOLOGY
Annual Review of Organizational Psychology and Organizational Behavior,ANN REV ORGAN PSYCHOL ORGAN,ANNU REV ORGAN PSYCH,2327-0608,null,PSYCHIATRY/PSYCHOLOGY
Annual Review of Psychology,ANNU REV PSYCHOL,ANNU REV PSYCHOL,0066-4308,null,PSYCHIATRY/PSYCHOLOGY
ANXIETY STRESS AND COPING,ANXIETY STRESS COPING,ANXIETY STRESS COPIN,1061-5806,1477-2205,PSYCHIATRY/PSYCHOLOGY
APPLIED COGNITIVE PSYCHOLOGY,APPL COGNITIVE PSYCHOL,APPL COGNITIVE PSYCH,0888-4080,1099-0720,PSYCHIATRY/PSYCHOLOGY
Applied Developmental Science,APPL DEV SCI,APPL DEV SCI,1088-8691,1532-480X,PSYCHIATRY/PSYCHOLOGY
Applied Neuropsychology-Adult,APPL NEUROPSYCHOL-ADULT,APPL NEUROPSYCH-ADUL,2327-9095,2327-9109,PSYCHIATRY/PSYCHOLOGY
Applied Neuropsychology-Child,APPL NEUROPSYCHOL-CHILD,APPL NEUROPSYCH-CHIL,2162-2965,2162-2973,PSYCHIATRY/PSYCHOLOGY
APPLIED PSYCHOLINGUISTICS,APPL PSYCHOLINGUIST,APPL PSYCHOLINGUIST,0142-7164,1469-1817,PSYCHIATRY/PSYCHOLOGY
APPLIED PSYCHOLOGICAL MEASUREMENT,APPL PSYCHOL MEAS,APPL PSYCH MEAS,0146-6216,1552-3497,PSYCHIATRY/PSYCHOLOGY
APPLIED PSYCHOLOGY-AN INTERNATIONAL REVIEW-PSYCHOLOGIE APPLIQUEE-REVUE INTERNATIONALE,APPL PSYCHOL-INT REV,APPL PSYCHOL-INT REV,0269-994X,1464-0597,PSYCHIATRY/PSYCHOLOGY
Applied Psychology-Health and Well Being,APPL PSYCHOL-HEALTH WELL-BEIN,APPL PSYCHOL-HLTH WE,1758-0846,1758-0854,PSYCHIATRY/PSYCHOLOGY
APPLIED PSYCHOPHYSIOLOGY AND BIOFEEDBACK,APPL PSYCHOPHYSIOL BIOFEEDBAC,APPL PSYCHOPHYS BIOF,1090-0586,1573-3270,PSYCHIATRY/PSYCHOLOGY
Archive for the Psychology of Religion-Archiv fur Religionspsychologie,ARCH PSYCHOL RELIG,ARCH PSYCHOL RELIG,0084-6724,1573-6121,PSYCHIATRY/PSYCHOLOGY
ARCHIVES OF CLINICAL NEUROPSYCHOLOGY,ARCH CLIN NEUROPSYCH,ARCH CLIN NEUROPSYCH,0887-6177,1873-5843,PSYCHIATRY/PSYCHOLOGY
Archives of Clinical Psychiatry,ARCH CLIN PSYCHIATRY,ARCH CLIN PSYCHIAT,0101-6083,1806-938X,PSYCHIATRY/PSYCHOLOGY
ARCHIVES OF PSYCHIATRIC NURSING,ARCHIVES PSYCHIATR NURS,ARCH PSYCHIAT NURS,0883-9417,1532-8228,PSYCHIATRY/PSYCHOLOGY
ARCHIVES OF SEXUAL BEHAVIOR,ARCH SEX BEHAV,ARCH SEX BEHAV,0004-0002,1573-2800,PSYCHIATRY/PSYCHOLOGY
ARCHIVES OF SUICIDE RESEARCH,ARCH SUICIDE RES,ARCH SUICIDE RES,1381-1118,1543-6136,PSYCHIATRY/PSYCHOLOGY
Archives of Womens Mental Health,ARCH WOMENS MENT HEALTH,ARCH WOMEN MENT HLTH,1434-1816,1435-1102,PSYCHIATRY/PSYCHOLOGY
ARTS IN PSYCHOTHERAPY,ART PSYCHOTHER,ART PSYCHOTHER,0197-4556,1873-5878,PSYCHIATRY/PSYCHOLOGY
Asian American Journal of Psychology,ASIAN AM J PSYCHOL,ASIAN AM J PSYCHOL,1948-1985,1948-1993,PSYCHIATRY/PSYCHOLOGY
ASIAN JOURNAL OF SOCIAL PSYCHOLOGY,ASIAN J SOC PSYCHOL,ASIAN J SOC PSYCHOL,1367-2223,1467-839X,PSYCHIATRY/PSYCHOLOGY
Asia-Pacific Psychiatry,ASIA-PAC PSYCHIATRY,ASIA-PAC PSYCHIAT,1758-5864,1758-5872,PSYCHIATRY/PSYCHOLOGY
ASSESSMENT,ASSESSMENT,ASSESSMENT,1073-1911,1552-3489,PSYCHIATRY/PSYCHOLOGY
ATTACHMENT & HUMAN DEVELOPMENT,ATTACH HUM DEV,ATTACH HUM DEV,1461-6734,1469-2988,PSYCHIATRY/PSYCHOLOGY
Attention Perception & Psychophysics,ATTEN PERCEPT PSYCHOPHYS,ATTEN PERCEPT PSYCHO,1943-3921,1943-393X,PSYCHIATRY/PSYCHOLOGY
Australasian Psychiatry,AUSTRALAS PSYCHIATRY,AUSTRALAS PSYCHIATRY,1039-8562,1440-1665,PSYCHIATRY/PSYCHOLOGY
Australian and New Zealand Journal of Family Therapy,AUST N Z J FAM THER,AUST NZ J FAM THER,0814-723X,1467-8438,PSYCHIATRY/PSYCHOLOGY
AUSTRALIAN AND NEW ZEALAND JOURNAL OF PSYCHIATRY,AUST N Z J PSYCHIAT,AUST NZ J PSYCHIAT,0004-8674,1440-1614,PSYCHIATRY/PSYCHOLOGY
AUSTRALIAN JOURNAL OF PSYCHOLOGY,AUST J PSYCHOL,AUST J PSYCHOL,0004-9530,1742-9536,PSYCHIATRY/PSYCHOLOGY
AUSTRALIAN PSYCHOLOGIST,AUST PSYCHOL,AUST PSYCHOL,0005-0067,1742-9544,PSYCHIATRY/PSYCHOLOGY
AUTISM,AUTISM,AUTISM,1362-3613,1461-7005,PSYCHIATRY/PSYCHOLOGY
Autism Research,AUTISM RES,AUTISM RES,1939-3792,1939-3806,PSYCHIATRY/PSYCHOLOGY
BASIC AND APPLIED SOCIAL PSYCHOLOGY,BASIC APPL SOC PSYCHOL,BASIC APPL SOC PSYCH,0197-3533,1532-4834,PSYCHIATRY/PSYCHOLOGY
BEHAVIORAL DISORDERS,BEHAV DISORDERS,BEHAV DISORDERS,0198-7429,2163-5307,PSYCHIATRY/PSYCHOLOGY
BEHAVIORAL INTERVENTIONS,BEHAV INTERVENT,BEHAV INTERVENT,1072-0847,1099-078X,PSYCHIATRY/PSYCHOLOGY
BEHAVIORAL MEDICINE,BEHAV MED,BEHAV MED,0896-4289,1940-4026,PSYCHIATRY/PSYCHOLOGY
Behavioral Psychology-Psicologia Conductual,BEHAV PSYCHOL,BEHAV PSYCHOL,1132-9483,1132-9483,PSYCHIATRY/PSYCHOLOGY
BEHAVIORAL SCIENCES & THE LAW,BEHAV SCI LAW,BEHAV SCI LAW,0735-3936,1099-0798,PSYCHIATRY/PSYCHOLOGY
BEHAVIOR ANALYST,BEHAV ANAL,BEHAV ANALYST,0738-6729,2196-8918,PSYCHIATRY/PSYCHOLOGY
BEHAVIOR GENETICS,BEHAV GENET,BEHAV GENET,0001-8244,1573-3297,PSYCHIATRY/PSYCHOLOGY
BEHAVIOR MODIFICATION,BEHAV MODIF,BEHAV MODIF,0145-4455,1552-4167,PSYCHIATRY/PSYCHOLOGY
Behavior Research Methods,BEHAV RES METHODS,BEHAV RES METHODS,1554-351X,1554-3528,PSYCHIATRY/PSYCHOLOGY
BEHAVIOR THERAPY,BEHAV THER,BEHAV THER,0005-7894,1878-1888,PSYCHIATRY/PSYCHOLOGY
BEHAVIOURAL AND COGNITIVE PSYCHOTHERAPY,BEHAV COGNITIVE PSYCHOTHER,BEHAV COGN PSYCHOTH,1352-4658,1469-1833,PSYCHIATRY/PSYCHOLOGY
BEHAVIOUR CHANGE,BEHAV CHANGE,BEHAV CHANGE,0813-4839,2049-7768,PSYCHIATRY/PSYCHOLOGY
BEHAVIOUR & INFORMATION TECHNOLOGY,BEHAV INFORM TECHNOL,BEHAV INFORM TECHNOL,0144-929X,1362-3001,PSYCHIATRY/PSYCHOLOGY
BEHAVIOUR RESEARCH AND THERAPY,BEHAV RES THER,BEHAV RES THER,0005-7967,1873-622X,PSYCHIATRY/PSYCHOLOGY
BIOLOGICAL PSYCHOLOGY,BIOL PSYCHOL,BIOL PSYCHOL,0301-0511,1873-6246,PSYCHIATRY/PSYCHOLOGY
BioPsychoSocial Medicine,BIOPSYCHOSOC MED,BIOPSYCHOSOC MED,1751-0759,1751-0759,PSYCHIATRY/PSYCHOLOGY
BIPOLAR DISORDERS,BIPOLAR DISORD,BIPOLAR DISORD,1398-5647,1399-5618,PSYCHIATRY/PSYCHOLOGY
BMC Psychiatry,BMC PSYCHIATRY,BMC PSYCHIATRY,1471-244X,null,PSYCHIATRY/PSYCHOLOGY
Body Image,BODY IMAGE,BODY IMAGE,1740-1445,1873-6807,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF CLINICAL PSYCHOLOGY,BRIT J CLIN PSYCHOL,BRIT J CLIN PSYCHOL,0144-6657,2044-8260,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF DEVELOPMENTAL PSYCHOLOGY,BRIT J DEVELOP PSYCHOL,BRIT J DEV PSYCHOL,0261-510X,2044-835X,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF EDUCATIONAL PSYCHOLOGY,BRIT J EDUC PSYCHOL,BRIT J EDUC PSYCHOL,0007-0998,2044-8279,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF GUIDANCE & COUNSELLING,BRIT J GUID COUNS,BRIT J GUID COUNS,0306-9885,1469-3534,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF HEALTH PSYCHOLOGY,BR J HEALTH PSYCHOL,BRIT J HEALTH PSYCH,1359-107X,2044-8287,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF MATHEMATICAL & STATISTICAL PSYCHOLOGY,BRIT J MATH STATIST PSYCHOL,BRIT J MATH STAT PSY,0007-1102,2044-8317,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF PSYCHIATRY,BRIT J PSYCHIAT,BRIT J PSYCHIAT,0007-1250,1472-1465,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF PSYCHOLOGY,BRIT J PSYCHOL,BRIT J PSYCHOL,0007-1269,2044-8295,PSYCHIATRY/PSYCHOLOGY
BRITISH JOURNAL OF SOCIAL PSYCHOLOGY,BRIT J SOC PSYCHOL,BRIT J SOC PSYCHOL,0144-6665,2044-8309,PSYCHIATRY/PSYCHOLOGY
BULLETIN OF THE MENNINGER CLINIC,BULL MENNINGER CLIN,B MENNINGER CLIN,0025-9284,1943-2828,PSYCHIATRY/PSYCHOLOGY
CANADIAN JOURNAL OF BEHAVIOURAL SCIENCE-REVUE CANADIENNE DES SCIENCES DU COMPORTEMENT,CAN J BEHAV SCI,CAN J BEHAV SCI,0008-400X,1879-2669,PSYCHIATRY/PSYCHOLOGY
CANADIAN JOURNAL OF EXPERIMENTAL PSYCHOLOGY-REVUE CANADIENNE DE PSYCHOLOGIE EXPERIMENTALE,CAN J EXP PSYCHOL,CAN J EXP PSYCHOL,1196-1961,1878-7290,PSYCHIATRY/PSYCHOLOGY
CANADIAN JOURNAL OF PSYCHIATRY-REVUE CANADIENNE DE PSYCHIATRIE,CAN J PSYCHIATRY,CAN J PSYCHIAT,0706-7437,1497-0015,PSYCHIATRY/PSYCHOLOGY
Canadian Journal of School Psychology,CAN J SCH PSYCHOL,CAN J SCH PSYCHOL,0829-5735,2154-3984,PSYCHIATRY/PSYCHOLOGY
CANADIAN PSYCHOLOGY-PSYCHOLOGIE CANADIENNE,CAN PSYCHOL-PSYCHOL CAN,CAN PSYCHOL,0708-5591,1878-7304,PSYCHIATRY/PSYCHOLOGY
CAREER DEVELOPMENT QUARTERLY,CAREER DEVELOP QUART,CAREER DEV Q,0889-4019,2161-0045,PSYCHIATRY/PSYCHOLOGY
CESKOSLOVENSKA PSYCHOLOGIE,CESK PSYCHOL,CESK PSYCHOL,0009-062X,1804-6436,PSYCHIATRY/PSYCHOLOGY
Child and Adolescent Mental Health,CHILD ADOLESC MENT HEALTH,CHILD ADOL MENT H-UK,1475-357X,1475-3588,PSYCHIATRY/PSYCHOLOGY
CHILD AND ADOLESCENT PSYCHIATRIC CLINICS OF NORTH AMERICA,CHILD ADOLESC PSYCHIATR CLIN,CHILD ADOL PSYCH CL,1056-4993,1558-0490,PSYCHIATRY/PSYCHOLOGY
Child and Adolescent Psychiatry and Mental Health,CHILD ADOLESC PSYCHIATRY ME H,CHILD ADOL PSYCH MEN,1753-2000,1753-2000,PSYCHIATRY/PSYCHOLOGY
CHILD DEVELOPMENT,CHILD DEVELOP,CHILD DEV,0009-3920,1467-8624,PSYCHIATRY/PSYCHOLOGY
Child Development Perspectives,CHILD DEV PERSPECT,CHILD DEV PERSPECT,1750-8592,1750-8606,PSYCHIATRY/PSYCHOLOGY
CHILD & FAMILY BEHAVIOR THERAPY,CHILD FAM BEHAV THER,CHILD FAM BEHAV THER,0731-7107,1545-228X,PSYCHIATRY/PSYCHOLOGY
CHILD PSYCHIATRY & HUMAN DEVELOPMENT,CHILD PSYCHIAT HUM DEVELOP,CHILD PSYCHIAT HUM D,0009-398X,1573-3327,PSYCHIATRY/PSYCHOLOGY
CHILD & YOUTH CARE FORUM,CHILD YOUTH CARE FORUM,CHILD YOUTH CARE FOR,1053-1890,1573-3319,PSYCHIATRY/PSYCHOLOGY
Clinical Case Studies,CLIN CASE STUD,CLIN CASE STUD,1534-6501,1552-3802,PSYCHIATRY/PSYCHOLOGY
CLINICAL CHILD AND FAMILY PSYCHOLOGY REVIEW,CLIN CHILD FAM PSYCHOL REV,CLIN CHILD FAM PSYCH,1096-4037,1573-2827,PSYCHIATRY/PSYCHOLOGY
Clinical Child Psychology and Psychiatry,CLIN CHILD PSYCHOL PSYCHIATRY,CLIN CHILD PSYCHOL P,1359-1045,1461-7021,PSYCHIATRY/PSYCHOLOGY
CLINICAL NEUROPSYCHOLOGIST,CLIN NEUROPSYCHOL,CLIN NEUROPSYCHOL,1385-4046,1744-4144,PSYCHIATRY/PSYCHOLOGY
Clinical Psychologist,CLIN PSYCHOL,CLIN PSYCHOL-UK,1328-4207,1742-9552,PSYCHIATRY/PSYCHOLOGY
CLINICAL PSYCHOLOGY & PSYCHOTHERAPY,CLIN PSYCHOL PSYCHOTHER,CLIN PSYCHOL PSYCHOT,1063-3995,1099-0879,PSYCHIATRY/PSYCHOLOGY
CLINICAL PSYCHOLOGY REVIEW,CLIN PSYCHOL REV,CLIN PSYCHOL REV,0272-7358,1873-7811,PSYCHIATRY/PSYCHOLOGY
CLINICAL PSYCHOLOGY-SCIENCE AND PRACTICE,CLIN PSYCHOL-SCI PRACTICE,CLIN PSYCHOL-SCI PR,0969-5893,1468-2850,PSYCHIATRY/PSYCHOLOGY
Clinica y Salud,CLIN SALUD,CLIN SALUD,1130-5274,null,PSYCHIATRY/PSYCHOLOGY
COGNITION AND INSTRUCTION,COGNITION INSTRUCT,COGNITION INSTRUCT,0737-0008,1532-690X,PSYCHIATRY/PSYCHOLOGY
COGNITION,COGNITION,COGNITION,0010-0277,1873-7838,PSYCHIATRY/PSYCHOLOGY
COGNITION & EMOTION,COGNITION EMOTION,COGNITION EMOTION,0269-9931,1464-0600,PSYCHIATRY/PSYCHOLOGY
Cognition Technology & Work,COGN TECHNOL WORK,COGN TECHNOL WORK,1435-5558,1435-5566,PSYCHIATRY/PSYCHOLOGY
COGNITIVE AND BEHAVIORAL PRACTICE,COGN BEHAV PRACT,COGN BEHAV PRACT,1077-7229,1878-187X,PSYCHIATRY/PSYCHOLOGY
COGNITIVE BEHAVIOUR THERAPY,COGN BEHAV THER,COGN BEHAV THERAPY,1650-6073,1651-2316,PSYCHIATRY/PSYCHOLOGY
COGNITIVE DEVELOPMENT,COGNITIVE DEVELOP,COGNITIVE DEV,0885-2014,1879-226X,PSYCHIATRY/PSYCHOLOGY
Cognitive Neuropsychiatry,COGN NEUROPSYCHIATRY,COGN NEUROPSYCHIATRY,1354-6805,1464-0619,PSYCHIATRY/PSYCHOLOGY
COGNITIVE NEUROPSYCHOLOGY,COGNITIVE NEUROPSYCHOL,COGN NEUROPSYCHOL,0264-3294,1464-0627,PSYCHIATRY/PSYCHOLOGY
Cognitive Processing,COGN PROCESS,COGN PROCESS,1612-4782,1612-4790,PSYCHIATRY/PSYCHOLOGY
COGNITIVE PSYCHOLOGY,COG PSYCHOL,COGNITIVE PSYCHOL,0010-0285,1095-5623,PSYCHIATRY/PSYCHOLOGY
COGNITIVE SCIENCE,COGNITIVE SCI,COGNITIVE SCI,0364-0213,1551-6709,PSYCHIATRY/PSYCHOLOGY
COGNITIVE THERAPY AND RESEARCH,COGNITIVE THER RES,COGNITIVE THER RES,0147-5916,1573-2819,PSYCHIATRY/PSYCHOLOGY
COMPREHENSIVE PSYCHIATRY,COMPR PSYCHIAT,COMPR PSYCHIAT,0010-440X,1532-8384,PSYCHIATRY/PSYCHOLOGY
COMPUTERS IN HUMAN BEHAVIOR,COMPUT HUM BEHAV,COMPUT HUM BEHAV,0747-5632,1873-7692,PSYCHIATRY/PSYCHOLOGY
CONSCIOUSNESS AND COGNITION,CONSCIOUS COGN,CONSCIOUS COGN,1053-8100,1090-2376,PSYCHIATRY/PSYCHOLOGY
CONTEMPORARY EDUCATIONAL PSYCHOLOGY,CONTEMP EDUC PSYCHOL,CONTEMP EDUC PSYCHOL,0361-476X,1090-2384,PSYCHIATRY/PSYCHOLOGY
CONTEMPORARY PSYCHOANALYSIS,CONTEMP PSYCHOANAL,CONTEMP PSYCHOANAL,0010-7530,2330-9091,PSYCHIATRY/PSYCHOLOGY
COUNSELING PSYCHOLOGIST,COUNS PSYCHOL,COUNS PSYCHOL,0011-0000,1552-3861,PSYCHIATRY/PSYCHOLOGY
CREATIVITY RESEARCH JOURNAL,CREATIVITY RES J,CREATIVITY RES J,1040-0419,1532-6934,PSYCHIATRY/PSYCHOLOGY
Criminal Behaviour and Mental Health,CRIM BEHAV MENT HEALTH,CRIM BEHAV MENT HEAL,0957-9664,1471-2857,PSYCHIATRY/PSYCHOLOGY
CRIMINAL JUSTICE AND BEHAVIOR,CRIM JUSTICE BEHAV,CRIM JUSTICE BEHAV,0093-8548,1552-3594,PSYCHIATRY/PSYCHOLOGY
Crisis-The Journal of Crisis Intervention and Suicide Prevention,CRISIS,CRISIS,0227-5910,2151-2396,PSYCHIATRY/PSYCHOLOGY
Cultural Diversity & Ethnic Minority Psychology,CULT DIVERS ETHN MINOR PSYCHO,CULT DIVERS ETHN MIN,1099-9809,1939-0106,PSYCHIATRY/PSYCHOLOGY
CULTURE MEDICINE AND PSYCHIATRY,CULT MED PSYCHIAT,CULT MED PSYCHIAT,0165-005X,1573-076X,PSYCHIATRY/PSYCHOLOGY
CULTURE & PSYCHOLOGY,CULT PSYCHOL,CULT PSYCHOL,1354-067X,1461-7056,PSYCHIATRY/PSYCHOLOGY
CURRENT DIRECTIONS IN PSYCHOLOGICAL SCIENCE,CURR DIRECTIONS PSYCHOL SCI,CURR DIR PSYCHOL SCI,0963-7214,1467-8721,PSYCHIATRY/PSYCHOLOGY
CURRENT OPINION IN PSYCHIATRY,CURR OPIN PSYCHIATRY,CURR OPIN PSYCHIATR,0951-7367,1473-6578,PSYCHIATRY/PSYCHOLOGY
Current Psychiatry Reports,CURR PSYCHIATRY REP,CURR PSYCHIAT REP,1523-3812,1535-1645,PSYCHIATRY/PSYCHOLOGY
CURRENT PSYCHOLOGY,CURR PSYCHOL,CURR PSYCHOL,1046-1310,1936-4733,PSYCHIATRY/PSYCHOLOGY
Cyberpsychology Behavior and Social Networking,CYBERPSYCHOLOGY BEHAV SOC NET,CYBERPSYCH BEH SOC N,2152-2715,2152-2723,PSYCHIATRY/PSYCHOLOGY
Cyberpsychology-Journal of Psychosocial Research on Cyberspace,CYBERPSYCHOLOGY,CYBERPSYCHOLOGY,1802-7962,1802-7962,PSYCHIATRY/PSYCHOLOGY
DEATH STUDIES,DEATH STUD,DEATH STUD,0748-1187,1091-7683,PSYCHIATRY/PSYCHOLOGY
DEPRESSION AND ANXIETY,DEPRESS ANXIETY,DEPRESS ANXIETY,1091-4269,1520-6394,PSYCHIATRY/PSYCHOLOGY
DEVELOPMENTAL NEUROPSYCHOLOGY,DEVELOP NEUROPSYCHOL,DEV NEUROPSYCHOL,8756-5641,1532-6942,PSYCHIATRY/PSYCHOLOGY
DEVELOPMENTAL PSYCHOLOGY,DEVELOP PSYCHOL,DEV PSYCHOL,0012-1649,1939-0599,PSYCHIATRY/PSYCHOLOGY
DEVELOPMENTAL REVIEW,DEVELOP REV,DEV REV,0273-2297,1090-2406,PSYCHIATRY/PSYCHOLOGY
DEVELOPMENTAL SCIENCE,DEV SCI,DEVELOPMENTAL SCI,1363-755X,1467-7687,PSYCHIATRY/PSYCHOLOGY
DEVELOPMENT AND PSYCHOPATHOLOGY,DEV PSYCHOPATHOL,DEV PSYCHOPATHOL,0954-5794,1469-2198,PSYCHIATRY/PSYCHOLOGY
DIAGNOSTICA,DIAGNOSTICA,DIAGNOSTICA,0012-1924,2190-622X,PSYCHIATRY/PSYCHOLOGY
DISCOURSE PROCESSES,DISCOURSE PROCESS,DISCOURSE PROCESS,0163-853X,1532-6950,PSYCHIATRY/PSYCHOLOGY
DREAMING,DREAMING,DREAMING,1053-0797,1573-3351,PSYCHIATRY/PSYCHOLOGY
Early Intervention in Psychiatry,EARLY INTERV PSYCHIATRY,EARLY INTERV PSYCHIA,1751-7885,1751-7893,PSYCHIATRY/PSYCHOLOGY
Eating and Weight Disorders-Studies on Anorexia Bulimia and Obesity,EAT WEIGHT DISORD-STUD ANOREX,EAT WEIGHT DISORD-ST,1124-4909,1590-1262,PSYCHIATRY/PSYCHOLOGY
Eating Behaviors,EAT BEHAV,EAT BEHAV,1471-0153,1873-7358,PSYCHIATRY/PSYCHOLOGY
Eating Disorders,EAT DISORD,EAT DISORD,1064-0266,1532-530X,PSYCHIATRY/PSYCHOLOGY
ECOLOGICAL PSYCHOLOGY,ECOL PSYCHOL,ECOL PSYCHOL,1040-7413,1532-6969,PSYCHIATRY/PSYCHOLOGY
EDUCATIONAL AND PSYCHOLOGICAL MEASUREMENT,EDUC PSYCHOL MEAS,EDUC PSYCHOL MEAS,0013-1644,1552-3888,PSYCHIATRY/PSYCHOLOGY
EDUCATIONAL PSYCHOLOGIST,EDUC PSYCHOL,EDUC PSYCHOL-US,0046-1520,1532-6985,PSYCHIATRY/PSYCHOLOGY
Educational Psychology,EDUC PSYCHOL-UK,EDUC PSYCHOL-UK,0144-3410,1469-5820,PSYCHIATRY/PSYCHOLOGY
EDUCATIONAL PSYCHOLOGY REVIEW,EDUC PSYCHOL REV,EDUC PSYCHOL REV,1040-726X,1573-336X,PSYCHIATRY/PSYCHOLOGY
EMOTION,EMOTION,EMOTION,1528-3542,1931-1516,PSYCHIATRY/PSYCHOLOGY
