id	include_in_analysis	exclusion_crit	is_RR	support	support_binary	is_replication	contains_replic	RR_hyp_intro_abstract	RR_hyp_intro_fulltext	hypothesis_quote	result_quote	hyp_from_fulltext	result_from_fulltext	doi	title	authors	year	journal	abstract	keywords	coding_round	combining_coding_notes	uses_AS_coding	coded_by_MS	support_orig_MS	support_revised_MS	evaluation_certainty_MS	hypothesis_MS	hypothesis_introduction_MS	finding_MS	conclusion_MS	hypothesis_from_fulltext_MS	result_from_fulltext_MS	fulltext_available_MS	is_replication_old_MS	is_original_old_MS	time_spent_MS	individual_coding_notes_MS	coded_by_AS	support_orig_AS	support_revised_AS	evaluation_certainty_AS	hypothesis_AS	hypothesis_introduction_AS	finding_AS	conclusion_AS	hypothesis_from_fulltext_AS	result_from_fulltext_AS	fulltext_available_AS	is_replication_old_AS	is_original_old_AS	time_spent_AS	individual_coding_notes_AS	is_replication_new_combining_notes	is_replication_new_coded_by_AS	is_replication_new_AS	replic_notes_AS	is_replication_new_coded_by_DL	is_replication_new_DL	replic_notes_DL	is_replication_special_issue	hypothesis_intro_contains_replic
80	1		1	no support	0	0	1	predicts that		"""This theory predicts that foreknowledge should reduce the deviation effect, but should have no effect on the changing-state effect."""	"""The present study provides a direct test of the predicted dissociation, and provides clear evidence against the hypothesis that foreknowledge selectively benefits performance in the deviation condition, but has no effect on the changing-state conditions."""	0	1	10.1027/1618-3169/a000372	The Effect of Cognitive Control on Different Types of Auditory Distraction: A Preregistered Study	Bell, Raoul; Röer, Jan P.; Marsh, John E.; Storch, Dunja; Buchner, Axel	2017	Experimental Psychology	© 2017 Hogrefe Publishing.Deviant as well as changing auditory distractors interfere with short-term memory. According to the duplex model of auditory distraction, the deviation effect is caused by a shift of attention while the changing-state effect is due to obligatory order processing. This theory predicts that foreknowledge should reduce the deviation effect, but should have no effect on the changing-state effect. We compared the effect of foreknowledge on the two phenomena directly within the same experiment. In a pilot study, specific foreknowledge was impotent in reducing either the changing-state effect or the deviation effect, but it reduced disruption by sentential speech, suggesting that the effects of foreknowledge on auditory distraction may increase with the complexity of the stimulus material. Given the unexpected nature of this finding, we tested whether the same finding would be obtained in (a) a direct preregistered replication in Germany and (b) an additional replication with translated stimulus materials in Sweden.	Attentional capture, Cross-modal distraction, Interference control, Top-down control, Working memory	0	From RR pilot; [is replication, is original work and from full text] variables updated on 13-01-19; the study replictes its own pilot experiment, therefore coded as being a replication. AS had access to full text, so her coding was used.	1	1	partial support			"""Deviant as well as changing auditory distractors interfere with short-term memory. According to the duplex model of auditory distraction, the deviation effect is caused by a shift of attention while the changing-state effect is due to obligatory order processing. This theory predicts that foreknowledge should reduce the deviation effect, but should have no effect on the changing-state effect. We compared the effect of foreknowledge on the two phenomena directly within the same experiment. """		""" In a pilot study, specific foreknowledge was impotent in reducing either the changing-state effect or the deviation effect, but it reduced disruption by sentential speech, suggesting that the effects of foreknowledge on auditory distraction may increase with the complexity of the stimulus material"""		0	0	0	1	1	1899-12-31T00:08:51Z	The paper's website does not indicate that an updated version of the paper exists. Full text is not available. The hypothesis consists of two effects that foreknowledge should have. Only one of these effects is found in the data as it was hypothesized, therefore it was classified as partial support.	1	no support	no support		This theory predicts that foreknowledge should reduce the deviation effect, but should have no effect on the changing-state effect.	This theory predicts that		The present study provides a direct test of the predicted dissociation, and provides clear evidence against the hypothesis that foreknowledge selectively benefits performance in the deviation condition, but has no effect on the changing-state conditions.	0	1	1	1	1	1899-12-31T00:11:40Z			1	0	The first preregistered study in this RR is a direct replication of a pilot study reported in the same paper. Therefore it is an internal replication, not a direct replication of previously published work.	0			0	0
81	1		1	support	1	1	1		H1; replicating; we assume	"""H1: Replicating the experiment by Pichert and Katsikopoulos (2008), we assume a main effect of the default on the choice of the electricity provider. More people should choose green electricity in the green-default group than in the gray-default group."""	"""We found a strong effect of the default manipulation on choices replicating the findings from previous studies on default effects (Johnson & Goldstein, 2003; Pichert & Katsikopoulos, 2008) and supporting Hypothesis 1."""	1	1	10.1080/23743603.2016.1139390	Nudge me if you can - how defaults and attitude strength interact to change behavior	Vetter, Max; Kutzner, Florian	2016	Comprehensive Results in Social Psychology	© 2016, © 2016 European Association of Social Psychology.Defaults (i.e. preselected options that become effective without active choice) are becoming increasingly popular as the idea of nudging enters the political arena. Their interplay with individual attitudes is largely unknown. In two preregistered and highly powered experimental studies, we examined how defaults and attitudes interact to influence decision-making. In both studies, we manipulated the default electricity provider (gray versus green electricity sources) and measured environmental attitudes and attitude strength. The default manipulation and measures of attitude strength independently predicted people’s choices. Yet, we found no compelling evidence for an attenuated default effect for participants with strong preexisting attitudes. Implications for the concept of libertarian paternalism and the use of green defaults as a means for policymakers to foster pro-environmental choices are discussed.	attitude strength, choice architecture, Defaults, ecological behavior, nudge	0	“From RR pilot; [is replication, is original work and from full text] variables updated on 13-01-19; changed coding of [is replication] to AS coding”	1	1	missing			"""we examined how defaults and attitudes interact to influence decision-making. In both studies, we manipulated the default electricity provider (gray versus green electricity sources) and measured environmental attitudes and attitude strength"" - too generic, not a clear hypothesis"		"""The default manipulation and measures of attitude strength independently predicted people’s choices. Yet, we found no compelling evidence for an attenuated default effect for participants with strong preexisting attitudes."""		0	0	0	0	1	1899-12-31T00:06:05Z	The link is the fully updated version of this paper. Full text is not available on original link. The paper does not state a clear hypothesis, and can therefore not be coded.	1	support	support		H1: Replicating the experiment by Pichert and Katsikopoulos (2008), we assume a main effect of the default on the choice of the electricity provider. More people should choose green electricity in the green-default group than in the gray-default group.	H1:		We found a strong effect of the default manipulation on choices replicating the findings from previous studies on default effects (Johnson & Goldstein, 2003; Pichert & Katsikopoulos, 2008) and supporting Hypothesis 1.	1	1	1	1	1	1899-12-31T00:06:20Z	Hypothesis not in abstract; part of replication		1	1		0			0	0
82	1		0	support	1	0	1			"""The present study therefore tested the hypothesis that these two constructs also may mirror risk factors for a recurrent major depressive episode (MDE)."""	"""Consistent with expectations, maladaptive mood repair predicted recurrent MDE, above and beyond T1 depression symptoms. Further, atypical RSA profiles at T1 were associated with high levels of maladaptive mood repair, which, in turn, predicted increased risk of recurrent MDE. Thus, maladaptive mood repair mediated the effects of atypical RSA on risk of MDE recurrence."""	0	0	10.1017/S003329171600057X	Maladaptive mood repair, atypical respiratory sinus arrhythmia, and risk of a recurrent major depressive episode among adolescents with prior major depression	Kovacs, M.; Yaroslavsky, I.; Rottenberg, J.; George, C. J.; Kiss, E.; Halas, K.; Dochnal, R.; Benak, I.; Baji, I.; Vetra, A.; Makai, A.; Kapornai, K.	2016	Psychological Medicine	© Copyright Cambridge University Press 2016.Background Because depressive illness is recurrent, recurrence prevention should be a mainstay for reducing its burden on society. One way to reach this goal is to identify malleable risk factors. The ability to attenuate sadness/dysphoria (mood repair) and parasympathetic nervous system functioning, indexed as respiratory sinus arrhythmia (RSA), are impaired during depression and after it has remitted. The present study therefore tested the hypothesis that these two constructs also may mirror risk factors for a recurrent major depressive episode (MDE). Method At time 1 (T1), 178 adolescents, whose last MDE had remitted, and their parents, reported on depression and mood repair; youths' RSA at rest and in response to sad mood induction also were assessed. MDE recurrence was monitored until time 2 (T2) up to 2 years later. Mood repair at T1 (modeled as a latent construct), and resting RSA and RSA response to sadness induction (RSA profile), served to predict onset of first recurrent MDE by T2. Results Consistent with expectations, maladaptive mood repair predicted recurrent MDE, above and beyond T1 depression symptoms. Further, atypical RSA profiles at T1 were associated with high levels of maladaptive mood repair, which, in turn, predicted increased risk of recurrent MDE. Thus, maladaptive mood repair mediated the effects of atypical RSA on risk of MDE recurrence. Conclusions This study documented that a combination of behavioral and physiological risk factors predicted MDE recurrence in a previously clinically referred sample of adolescents with depression histories. Because mood repair and RSA are malleable, both could be targeted for modification to reduce the risk of recurrent depression in youths.	Adolescents, emotion regulation, mood repair, recurrent major depression, respiratory sinus arrhythmia	1		0	1	support	support	4	"""The present study therefore tested the hypothesis that these two constructs also may mirror risk factors for a recurrent major depressive episode (MDE)."""	tested the hypothesis	"""Consistent with expectations, maladaptive mood repair predicted recurrent MDE, above and beyond T1 depression symptoms. Further, atypical RSA profiles at T1 were associated with high levels of maladaptive mood repair, which, in turn, predicted increased risk of recurrent MDE. Thus, maladaptive mood repair mediated the effects of atypical RSA on risk of MDE recurrence."""		0	0	0	0	1	1899-12-31T00:03:00Z		0																1	0		1	0		0	0
83	1		0	support	1	0	1			"""We tested the hypothesis that drivers’ yielding behavior is influenced by pedestrians’ race in a controlled field experiment at an unsignalized midblock marked crosswalk in downtown Portland, Oregon. """	""" Results (88 pedestrian trials, 173 driver-subjects) revealed that Black pedestrians were passed by twice as many cars and experienced wait times that were 32% longer than White pedestrians. Results support the hypothesis that minority pedestrians experience discriminatory treatment by drivers at crosswalks."""	0	0	10.1016/j.trf.2015.06.002	Racial bias in driver yielding behavior at crosswalks	Goddard, Tara; Kahn, Kimberly Barsamian; Adkins, Arlie	2015	Transportation Research Part F: Traffic Psychology and Behaviour	© 2015 Elsevier Ltd. All rights reserved.Psychological and social identity-related factors have been shown to influence drivers' behaviors toward pedestrians, but no previous studies have examined the potential for drivers' racial bias to impact yielding behavior with pedestrians. If drivers' yielding behavior results in differential behavior toward Black and White pedestrians, this may lead to disparate pedestrian crossing experiences based on race and potentially contribute to disproportionate safety outcomes for minorities. We tested the hypothesis that drivers' yielding behavior is influenced by pedestrians' race in a controlled field experiment at an unsignalized midblock marked crosswalk in downtown Portland, Oregon. Six trained male research team participants (3 White, 3 Black) simulated an individual pedestrian crossing, while trained observers cataloged the number of cars that passed and the time until a driver yielded. Results (88 pedestrian trials, 173 driver-subjects) revealed that Black pedestrians were passed by twice as many cars and experienced wait times that were 32% longer than White pedestrians. Results support the hypothesis that minority pedestrians experience discriminatory treatment by drivers at crosswalks.	Discrimination, Intermodal conflict, Pedestrian safety, Racial bias	1		0	1	support	support	5	"""We tested the hypothesis that drivers’ yielding behavior is influenced by pedestrians’ race in a controlled field experiment at an unsignalized midblock marked crosswalk in downtown Portland, Oregon. """	tested the hypothesis		""" Results (88 pedestrian trials, 173 driver-subjects) revealed that Black pedestrians were passed by twice as many cars and experienced wait times that were 32% longer than White pedestrians. Results support the hypothesis that minority pedestrians experience discriminatory treatment by drivers at crosswalks."""	0	0	1	0	1	1899-12-31T00:03:00Z		0																1	0		1	0		0	0
84	0	insufficient information	0	exclude		0	0					1	1	10.1007/s00127-015-1119-x	The accuracy of suicide statistics: are true suicide deaths misclassified?	Bakst, Shelly S.; Braun, Tali; Zucker, Inbar; Amitai, Ziva; Shohat, Tamy	2016	Social Psychiatry and Psychiatric Epidemiology			1		0	1	missing	exclude	1	"""We aimed to test the hypothesis that non-suicide death categories contain a large potential reservoir of misclassified suicides."""	test the hypothesis	"""Taken together, these findings suggest that sensitivity estimates for suicide certification conservatively reached 70 %—indicating that about a third of the true suicide deaths occurring during the period under review were incorrectly registered in the official record"""		1	1	1	0	1	1899-12-31T00:05:00Z	Unclear under what conditions the hypothesis has support	1	exclude	exclude		We aimed to test the hypothesis that non-suicide death categories contain a large potential reservoir of misclassified suicides.				0			0	1	1899-12-31T00:11:00Z	impossible to categorise; hypothesis too vague. Study focus seems exploratory/descriptive --> exclude		1	0		1	0		0	
85	1		0	support	1	0	0			"""This secondary data analysis tested the hypothesis that patient-reported antidepressant side effects were lower in depressed patients receiving high-intensity, telemedicine-based collaborative care (TBCC) compared with those receiving low-intensity practice-based collaborative care (PBCC)."""	"""Controlling for baseline case-mix and time-variant medication characteristics (e.g., number, dose, or specific antidepressant), the TBCC group reported significantly fewer side effects at 6 and 12 months (p=.02 and .01, respectively). The number of antidepressants prescribed increased risk of side effects (p=.03)."" AND ""Patients in the TBCC group reported fewer antidepressant-related side effects which may have contributed to improved quality of life."""	0	0	10.1176/appi.ps.201300570	Reduction of Patient-Reported Antidepressant Side Effects, by Type of Collaborative Care	Hudson, Teresa J.; Fortney, John C.; Pyne, Jeffrey M.; Lu, Liya; Mittal, Dinesh	2015	Psychiatric Services	© 2015, American Psychiatric Association. All rights reserved. Objective: Antidepressants are effective for treating depression, and collaborative care increases initiation of and adherence to antidepressants. Side effects of antidepressants are common and can adversely affect quality of life. Care managers address antidepressant side effects directly, but the impact of collaborative care on adverse effects is unknown. This secondary data analysis tested the hypothesis that patient-reported antidepressant side effects were lower for depressed patients receiving high-intensity, telemedicine-based collaborative care (TBCC) than for patients receiving low-intensity, practice-based collaborative care (PBCC). Methods: This analysis used data from 190 patients enrolled in a pragmatic, multisite, comparative-effectiveness trial from 2007 to 2009 and followed for 18 months. Most patients were female (83%) and Caucasian (80%). The mean age was 50. Patients randomly assigned to PBCC received 12 months of evidence-based care from an on-site primary care provider and nurse care manager. Patients in TBCC received evidence-based care from an on-site primary care provider supported by a nurse care manager available off site by telephone, as well as by a telepharmacist, telepsychologist, and telepsychiatrist. Telephone interviews completed at baseline, six, 12, and 18 months included assessments of sociodemographic characteristics, beliefs about antidepressant treatment, depression severity, psychiatric comorbidity, medications, adherence, and side effects. Results: With controls for baseline case mix and time-variant medication characteristics, the TBCC group reported significantly fewer side effects at six and 12 months (p=.008 and .002, respectively). The number of antidepressants prescribed increased risk of side effects (p=.02). Conclusions: Patients in the TBCC group reported fewer antidepressant-related side effects, which may have contributed to improved quality of life.		1		0	1	support	support	4	"""This secondary data analysis tested the hypothesis that patient-reported antidepressant side effects were lower in depressed patients receiving high-intensity, telemedicine-based collaborative care (TBCC) compared with those receiving low-intensity practice-based collaborative care (PBCC)."""	tested the hypothesis	"""Controlling for baseline case-mix and time-variant medication characteristics (e.g., number, dose, or specific antidepressant), the TBCC group reported significantly fewer side effects at 6 and 12 months (p=.02 and .01, respectively). The number of antidepressants prescribed increased risk of side effects (p=.03)."""	"""Patients in the TBCC group reported fewer antidepressant-related side effects which may have contributed to improved quality of life."""	0	0	1	0	1	1899-12-31T00:03:00Z		0																1	0		1	0		0	0
86	1		0	support	1	1	1			"""We tested the hypothesis that the direction of gaze of target faces may play a role in reported face recognition deficits in those with an autism spectrum disorder (ASD)."""	"""The typically developing group better remembered the direct‐gaze faces, whereas the ASD participants did not show this effect."" AND ""These results imply that there may be an important link between gaze direction and face recognition abilities in ASD."""	0	0	10.1002/aur.1292	The Role of Gaze Direction in Face Memory in Autism Spectrum Disorder	Zaki, Safa R.; Johnson, Shannon A.	2013	Autism Research	We tested the hypothesis that the direction of gaze of target faces may play a role in reported face recognition deficits in those with an autism spectrum disorder (ASD). In previous studies, typically developing children and adults better remembered faces in which the eyes were gazing directly at them compared with faces in which the eyes were averted. In the current study, high-functioning children and adolescents with an ASD and age- and IQ-matched typically developing controls were shown a series of pictures of faces in a study phase. These pictures were of individuals whose gaze was either directed straight ahead or whose gaze was averted to one side. We tested the memory for these study faces in a recognition task in which the faces were shown with their eyes closed. The typically developing group better remembered the direct-gaze faces, whereas the ASD participants did not show this effect. These results imply that there may be an important link between gaze direction and face recognition abilities in ASD. Autism Res 2013, 6: 280-287. © 2013 International Society for Autism Research, Wiley Periodicals, Inc.	Autism spectrum disorder, Eye-contact, Face recognition, Face-processing, Gaze	1		1	1	support	support	2			"""The first experiment replicated previous findings, indicating that college‐aged students better remembered the faces that were studied with a direct gaze when tested with the same face shown with eyes closed. """			1	1	1	1	1899-12-31T00:05:00Z	"This paper replicates previously found effects because it made changes to aspects of the paradigm: ""In Experiment 1, we sought to replicate the effects of direct gaze on face memory [Hood et al., 2003, 2003; Mason et al., 2004; Smith et al., 2006] with our stimulus set before testing our target group. This replication was important given the changes that we made to various aspects of the stimuli used previously in this paradigm"". It is unclear if the replication should be coded (which is the first test performed in the paper) or the hypothesis of the second experiment (because this hypothesis occurs earlier in the paper)."	1	support	support		We tested the hypothesis that the direction of gaze of target faces may play a role in reported face recognition deficits in those with an autism spectrum disorder (ASD).	we tested the hypothesis	The typically developing group better remembered the direct‐gaze faces, whereas the ASD participants did not show this effect.	These results imply that there may be an important link between gaze direction and face recognition abilities in ASD.	0	0	1	0	1	1899-12-31T00:01:30Z			1	1		0			0	0
87	1		0	support	1	0	0			"""We tested the hypothesis that maternal depression is associated with DNA methylation alterations in maternal T lymphocytes, neonatal cord blood T lymphocytes and adult offspring hippocampi."""	"""Our results show that DNA methylation changes in offspring associated with maternal depression are detectable at birth in the immune system and persist to adulthood in the brain. This is consistent with the hypothesis that system-wide epigenetic changes are involved in life-long responses to maternal depression in the offspring."""	0	0	10.1038/tp.2015.32	Maternal depression is associated with DNA methylation changes in cord blood T lymphocytes and adult hippocampi	Nemoda, Z.; Massart, R.; Suderman, M.; Hallett, M.; Li, T.; Coote, M.; Cody, N.; Sun, Z. S.; Soares, C. N.; Turecki, G.; Steiner, M.; Szyf, M.	2015	Translational Psychiatry	© 2015 Translational Psychiatry.Depression affects 10-15% of pregnant women and has been associated with preterm delivery and later developmental, behavioural and learning disabilities. We tested the hypothesis that maternal depression is associated with DNA methylation alterations in maternal T lymphocytes, neonatal cord blood T lymphocytes and adult offspring hippocampi. Genome-wide DNA methylation of CD3+ T lymphocytes isolated from 38 antepartum maternal and 44 neonatal cord blood samples were analyzed using Illumina Methylation 450 K microarrays. Previously obtained methylation data sets using methylated DNA immunoprecipitation and array-hybridization of 62 postmortem hippocampal samples of adult males were re-analyzed to test associations with history of maternal depression. We found 145 (false discovery rate (FDR) q<0.05) and 2520 (FDR q<0.1) differentially methylated CG-sites in cord blood T lymphocytes of neonates from the maternal depression group as compared with the control group. However, no significant DNA methylation differences were detected in the antepartum maternal T lymphocytes of our preliminary data set. We also detected 294 differentially methylated probes (FDR q<0.1) in hippocampal samples associated with history of maternal depression. We observed a significant overlap (P=0.002) of 33 genes with changes in DNA methylation in T lymphocytes of neonates and brains of adult offspring. Many of these genes are involved in immune system functions. Our results show that DNA methylation changes in offspring associated with maternal depression are detectable at birth in the immune system and persist to adulthood in the brain. This is consistent with the hypothesis that system-wide epigenetic changes are involved in life-long responses to maternal depression in the offspring.		1		0	1	support	support	4	"""We tested the hypothesis that maternal depression is associated with DNA methylation alterations in maternal T lymphocytes, neonatal cord blood T lymphocytes and adult offspring hippocampi."""	tested the hypothesis	"""Our results show that DNA methylation changes in offspring associated with maternal depression are detectable at birth in the immune system and persist to adulthood in the brain. This is consistent with the hypothesis that system-wide epigenetic changes are involved in life-long responses to maternal depression in the offspring."""		0	0	1	0	1	1899-12-31T00:04:00Z		0																1	0		1	0		0	0
88	1		0	partial support	1	0	1			"""Study participants were genotyped for the functional SERT promoter polymorphisms, 5-HTTLPR and rs25531, to test the hypothesis that the higher expressing genotypes would be associated with hyperresponsiveness to touch, a common sensory aversion in ASD."""	"""Strikingly, high-expressing SERT genotypes were associated with increased tactile hyperresponsiveness in the ASD group."" AND ""Our findings indicate genetic variation that increases SERT function may specifically impact somatosensory processing in ASD."""	0	0	10.1016/j.rasd.2014.11.008	Genetic variation in serotonin transporter modulates tactile hyperresponsiveness in ASD	Schauder, Kimberly B.; Muller, Christopher L.; Veenstra-VanderWeele, Jeremy; Cascio, Carissa J.	2015	Research in Autism Spectrum Disorders	© 2014 Published by Elsevier Ltd.Several lines of evidence implicate dysfunction of the serotonin (5-HT) system in autism spectrum disorder (ASD). Specifically, the serotonin transporter (5-HTT, SERT) has been scrutinized as an ASD candidate risk gene. SERT plays key roles in the development of circuits that underlie sensory function, particularly in the somatosensory system. One previous study in ASD found association of a rare, hyperfunctional SERT variant with sensory aversion, but studies of common SERT variants have never examined sensory symptoms in ASD. Using standardized caregiver assessments of sensory function in children, we evaluated patterns of sensory responsiveness in 47 children with ASD and 38 typically developing (TD) children. Study participants were genotyped for the functional SERT promoter polymorphisms, 5-HTTLPR and rs25531, to test the hypothesis that the higher expressing genotypes would be associated with hyperresponsiveness to touch, a common sensory aversion in ASD. All measures of sensory hypo- and hyperresponsiveness were increased in children with ASD, with hyporesponsive sensory patterns negatively correlated to age and hyperresponsive sensory patterns positively correlated to repetitive behavior. Strikingly, high-expressing SERT genotypes were associated with increased tactile hyperresponsiveness in the ASD group. Our findings indicate genetic variation that increases SERT function may specifically impact somatosensory processing in ASD.	Autism spectrum disorder, Sensory processing, SERT, Tactile hyperresponsiveness	1	AS' coding prioritised because it was coded from abstract only	1	1	support		4	"""Study participants were genotyped for the functional SERT promoter polymorphisms, 5-HTTLPR and rs25531, to test the hypothesis that the higher expressing genotypes would be associated with hyperresponsiveness to touch, a common sensory aversion in ASD."""	test the hypothesis	"""To our knowledge, this is the first study to examine the influence of SERT genetic variation on specific patterns of sensory behavior. While all measures of auditory, visual, and tactile processing impairment were significantly increased in children with ASD compared to TD participants, only patterns of tactile hyperresponsive behavior in ASD exhibited a relationship with SERT genotype. Specifically, we found that tactile hyperresponsiveness scores were significantly increased in affected individuals with high SERT expressing genotypes, matching our primary hypothesis."""		0	1	1	1	1	1899-12-31T00:04:00Z	"This paper replicates results found in previous studies: ""Supplementary analyses with age and repetitive behaviors, factors known to influence sensory behaviors, replicated previous findings in the literature and specified that age is more related to hyporesponsive patterns and repetitive behaviors are more related to hyperresponsive patterns, particularly in the tactile domain. """	1	partial support	partial support		Study participants were genotyped for the functional SERT promoter polymorphisms, 5-HTTLPR and rs25531, to test the hypothesis that the higher expressing genotypes would be associated with hyperresponsiveness to touch, a common sensory aversion in ASD.	test the hypothesis	Strikingly, high-expressing SERT genotypes were associated with increased tactile hyperresponsiveness in the ASD group.	Our findings indicate genetic variation that increases SERT function may specifically impact somatosensory processing in ASD.	0	0	1	0	1		"In my view, the results do not confirm the hypothesis in a narrow sense (only a subgroup shows the effect/association), but the authors do not discuss this as disconfirming evidence. Therefore I coded ""partial support"""		1	0		0			0	0
89	1		0	support	1	0	0			"""We tested the hypothesis that exposure to babyish faces can serve a social surrogacy function, such that even limited exposure to babyish faces can fulfill social belongingness needs. """	""" These results indicate that brief exposure to babyish (relative to mature) faces, even without an extensive interaction, can lead to the satisfaction of social belongingness needs."""	0	0	10.1080/00224545.2014.901286	Overgeneralizing Belonging: Limited Exposure to Baby-Faced Targets Increases the Feeling of Social Belonging	Sacco, Donald F.; Wilson, John Paul; Hugenberg, Kurt; Wirth, James H.	2014	Journal of Social Psychology	We tested the hypothesis that exposure to babyish faces can serve a social surrogacy function, such that even limited exposure to babyish faces can fulfill social belongingness needs. We manipulated the sex and facial maturity of a target face seen in an imagined social interaction, on a between-participants basis. Regardless of target sex, individuals indicated greater satisfaction of social belongingness needs following an imagined interaction with a babyish face, compared to a mature adult face. These results indicate that brief exposure to babyish (relative to mature) faces, even without an extensive interaction, can lead to the satisfaction of social belongingness needs. © Copyright © Taylor & Francis Group, LLC.	face perception, facial morphology, social belonging, social perception	1		0	1	support	support	5	"""We tested the hypothesis that exposure to babyish faces can serve a social surrogacy function, such that even limited exposure to babyish faces can fulfill social belongingness needs. """	tested the hypothesis		""" These results indicate that brief exposure to babyish (relative to mature) faces, even without an extensive interaction, can lead to the satisfaction of social belongingness needs."""	0	0	1	1	1	1899-12-31T00:04:00Z	"No variations of the word replication are used in the paper, but it is classified as a ""Replications and Refinements"" paper by the publisher website"	0											0	1				1	0		0			0	0
90	1		0	support	1	0	1			"""Three studies tested the hypothesis that disbelief in free will would be associated with greater conformity than a belief in free will."""	"""In Study 1 (correlational), participants who expressed a greater belief in free will reported that they were less likely to conform in a variety of situations than participants who expressed greater disbelief in free will."""	0	0	10.1016/j.jesp.2012.08.015	Determined to conform: Disbelief in free will increases conformity	Alquist, Jessica L.; Ainsworth, Sarah E.; Baumeister, Roy F.	2013	Journal of Experimental Social Psychology	Does disbelief in free will reduce people's willingness to exert the effort needed for autonomous thought and action rather than simply conforming to group norms? Three studies tested the hypothesis that disbelief in free will would be associated with greater conformity than a belief in free will. In Study 1 (correlational), participants who expressed a greater belief in free will reported that they were less likely to conform in a variety of situations than participants who expressed greater disbelief in free will. In Study 2 (experimental), participants who were induced to disbelieve in free will conformed significantly more to the opinions of ostensible other participants when judging paintings than participants in free will and control conditions. In Study 3 (experimental), participants who were induced to disbelieve in free will conformed significantly more to experimenter-provided examples than participants in a meaning-threat control condition, as well as more than those encouraged to believe in free will. These findings suggest that belief in free will contributes to autonomous action and resisting temptations and pressures to conform. © 2012.	Conformity, Free will, Social influence	1		0	1	support	support	5	"""Three studies tested the hypothesis that disbelief in free will would be associated with greater conformity than a belief in free will."""	tested the hypothesis	"""In Study 1 (correlational), participants who expressed a greater belief in free will reported that they were less likely to conform in a variety of situations than participants who expressed greater disbelief in free will."""		0	0	1	1	1	1899-12-31T00:03:00Z	"The third experiment replicates results from the previous study: ""Replicating the results from the previous study, participants in the anti-free will condition generated more conforming responses than participants in the pro-free will condition (M = 2.72, SD = 2.52), F(1, 69) = 5.31, p = .02."""	0											0	1				1	0		0			0	0
91	1		0	partial support	1	0	1			""" Specifically, we examined individual differences in BJW, long-term goal focus, and prosocial–antisocial tendencies to test the hypothesis that higher long-term focus would be associated with higher BJW, but only amongst those who are also high in prosocial (low in antisocial) tendencies. This hypothesis was tested four times using four measures of prosocial–antisocial tendencies."""	"""Simple slopes analyses revealed the predicted pattern of results for three of the four measures.""AND ""Researchers have argued that BJW aids individuals in pursuing long-term goals through prosocial means (e.g., Hafer, 2000, Hafer et al., 2005). We attempted to find support for this argument by testing the hypothesis that long-term focus predicts BJW, but only amongst participants higher in prosocial (lower in antisocial) tendencies. For three of the four tests of this hypothesis, the predicted interaction was significant or marginally significant and showed the expected pattern of results. Specifically, stronger long-term focus predicted stronger BJW, but only for participants higher in prosocial (lower in antisocial) tendencies."""	0	1	10.1016/j.paid.2014.11.006	Long-term focus and prosocial-antisocial tendencies interact to predict belief in just world	Hafer, Carolyn L.; Rubel, Alicia N.	2015	Personality and Individual Differences	© 2014 Elsevier Ltd.According to justice motive theory, individuals need to believe that the world is a just place where people generally get what they deserve (Lerner, 1977). Individuals are thought to need belief in a just world (BJW) in part because it gives them the confidence required to invest in long-term goals. However, BJW can only provide confidence that individuals will reap the rewards of their investments if they invest in their goals through prosocial means (e.g., Hafer, 2000). The current study provides evidence for this argument. Specifically, we examined individual differences in BJW, long-term goal focus, and prosocial-antisocial tendencies to test the hypothesis that higher long-term focus would be associated with higher BJW, but only amongst those who are also high in prosocial (low in antisocial) tendencies. This hypothesis was tested four times using four measures of prosocial-antisocial tendencies. Simple slopes analyses revealed the predicted pattern of results for three of the four measures. Our findings (a) provide novel support for the idea that BJW aids in the prosocial pursuit of long-term goals, and (b) have implications for individual variation in BJW.	Belief in a just world, Justice motive, Long-term goals, Prosocial behavior	1	18-01-2019 - clarified [hypothesis_introduction_ms]	0	1	partial support	partial support	4	""" Specifically, we examined individual differences in BJW, long-term goal focus, and prosocial–antisocial tendencies to test the hypothesis that higher long-term focus would be associated with higher BJW, but only amongst those who are also high in prosocial (low in antisocial) tendencies. This hypothesis was tested four times using four measures of prosocial–antisocial tendencies."""	test the hypothesis AND this hypothesis was tested [both from abstract]	"""Simple slopes analyses revealed the predicted pattern of results for three of the four measures.""AND ""Researchers have argued that BJW aids individuals in pursuing long-term goals through prosocial means (e.g., Hafer, 2000, Hafer et al., 2005). We attempted to find support for this argument by testing the hypothesis that long-term focus predicts BJW, but only amongst participants higher in prosocial (lower in antisocial) tendencies. For three of the four tests of this hypothesis, the predicted interaction was significant or marginally significant and showed the expected pattern of results. Specifically, stronger long-term focus predicted stronger BJW, but only for participants higher in prosocial (lower in antisocial) tendencies."""		0	1	1	0	1	1899-12-31T00:04:00Z	"The paper states that its research should be replicated: ""Researchers should also attempt to replicate our interactions with additional measures of long-term focus."""	0																1	0		0			0	0
